

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 51348-1599685200-73735988 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
58 	2020-09-09 14:46 	STRING9090 	kevnmax 	Elsie405 	9Marianne 	3♠S= 	140 	63.64% 	Movie or Lin 	 
59 	2020-09-09 14:47 	azlinda 	jg48 	265426 	dubose 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
60 	2020-09-09 14:47 	marsjc 	bxv 	sa4617 	39pegy 	3♠S= 	140 	63.64% 	Movie or Lin 	 
61 	2020-09-09 14:46 	suds8402 	lrue 	jobengland 	tpsc 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
62 	2020-09-09 14:47 	maria 1928 	mhood 	sueslinger 	4carrot 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
63 	2020-09-09 14:46 	bbbarb43 	Maggie444 	dowder 	chapalalou 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
64 	2020-09-09 14:47 	esgkc 	bbuch41 	dhb1122A 	connor14 	3♠S= 	140 	63.64% 	Movie or Lin 	 
65 	2020-09-09 14:46 	emilyseide 	Sheleb 	iredouble 	yayaby 	3♠S= 	140 	63.64% 	Movie or Lin 	 
66 	2020-09-09 14:47 	Enniscorth 	normw 	ewwalk 	kath1945 	3♠S= 	140 	63.64% 	Movie or Lin 	 
67 	2020-09-09 14:47 	mneff 	Gronkster 	dawg123 	SuzGA 	3♠S= 	140 	63.64% 	Movie or Lin 	 
68 	2020-09-09 14:46 	mizmeck 	shaji 	myrmil 	ajl4 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
69 	2020-09-09 14:46 	estouest 	Marie 57 	wonton 	lgsett 	2♠S+1 	140 	63.64% 	Movie or Lin 	 
70 	2020-09-09 14:46 	az fan 	832lehigh 	RemysDad 	stanleyfg 	3♠S= 	140 	63.64% 	Movie or Lin 	 
71 	2020-09-09 14:46 	tomboy830 	pebblenow 	faykarl 	chdrew 	3♠S= 	140 	63.64% 	Movie or Lin 	 
72 	2020-09-09 14:46 	blondie2 	Encino 	Donchik 	Rikke S 	3♠S= 	140 	63.64% 	Movie or Lin 	 
73 	2020-09-09 14:47 	RMF1939 	apisces 	Caveman111 	ellenanten 	3♠S= 	140 	63.64% 	Movie or Lin 	 
74 	2020-09-09 14:46 	leftyc 	haroldf 	karen schw 	vmandell 	2♠S= 	110 	40.15% 	Movie or Lin 	 
75 	2020-09-09 14:46 	faydugas 	lizj132000 	kater84 	aljrem 	2♠S= 	110 	40.15% 	Movie or Lin 	 
76 	2020-09-09 14:47 	chris724 	williamste 	giulia03 	1feeling 	2♠S= 	110 	40.15% 	Movie or Lin 	 
77 	2020-09-09 14:45 	peristy 	sabz 	Pam L 	TToes 	2♠S= 	110 	40.15% 	Movie or Lin 	 
78 	2020-09-09 14:48 	bridgeffun 	WilmaFlint 	lizr19 	ZUFONG 	2♠S= 	110 	40.15% 	Movie or Lin 	 
79 	2020-09-09 14:47 	mrstoe1 	vvttbb 	Baseman07 	sheilabro 	2♠S= 	110 	40.15% 	Movie or Lin 	 
80 	2020-09-09 14:47 	topgn 	Jill Rande 	dagtanimaz 	khr001 	2♠S= 	110 	40.15% 	Movie or Lin 	 
81 	2020-09-09 14:47 	kaytbridge 	maynab 	issab60 	spanisheye 	2♠S= 	110 	40.15% 	Movie or Lin 	 
82 	2020-09-09 14:47 	daledavid 	jillie730 	Subtiliter 	ninatas 	2♠S= 	110 	40.15% 	Movie or Lin 	 
83 	2020-09-09 14:46 	Ever_Next 	raechela 	thorn11 	lumbeer 	2♠S= 	110 	40.15% 	Movie or Lin 	 
84 	2020-09-09 14:46 	41115 	tnfarmer4 	lyndawithy 	ann no e 	2♠S= 	110 	40.15% 	Movie or Lin 	 
85 	2020-09-09 14:46 	JudeBoard 	lhasalady 	Bonita72 	homefreefl 	2♠S= 	110 	40.15% 	Movie or Lin 	 
86 	2020-09-09 14:46 	katapulta 	nkl1234 	sfletke 	andygirl 	2♠S= 	110 	40.15% 	Movie or Lin 	 
87 	2020-09-09 14:46 	suhu52 	bridgeclar 	maleman50 	Laspangle 	3♦E-1 	100 	33.33% 	Movie or Lin 	 
88 	2020-09-09 14:47 	Rom2003 	micha2715 	iqt 	mlllvn 	3♣E-1 	100 	33.33% 	Movie or Lin 	 
89 	2020-09-09 14:46 	ekweis 	horsemill 	GMEIKLE 	dwebb345 	3♦E-1 	100 	33.33% 	Movie or Lin 	 
90 	2020-09-09 14:48 	Garrison L 	hidden32 	oronda 	awhit 	3♦W-1 	100 	33.33% 	Movie or Lin 	 
91 	2020-09-09 14:46 	addrass 	poquis 	harmann8 	arnedanske 	3♦E-1 	100 	33.33% 	Movie or Lin 	 
92 	2020-09-09 14:47 	gordogreen 	JulyDiana 	aloon 	oxdrifter 	2♦E= 	-90 	31.06% 	Movie or Lin 	 
93 	2020-09-09 14:46 	kctory 	LusbyBob 	scshav 	dsp13 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
94 	2020-09-09 14:46 	Jeannow 	bobnbbase 	lindapie 	HeatherF56 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
95 	2020-09-09 14:46 	ronsassen 	salsa247 	gavina22 	Cboschg 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
96 	2020-09-09 14:47 	CSMCNOR 	jmunz 	kittydee 	jogle 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
97 	2020-09-09 14:47 	klee1940 	flockie 	Pita3423 	giulib 	4♠S-1 	-100 	18.18% 	Movie or Lin 	 
98 	2020-09-09 14:46 	mortcase 	sagkendavi 	jlwins 	kathy1961 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
99 	2020-09-09 14:48 	cloudy1 	super1960 	Daryl10 	juggernott 	4♠S-1 	-100 	18.18% 	Movie or Lin 	 
100 	2020-09-09 14:47 	orizi 	monelta 	BBP 	fireitup 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
101 	2020-09-09 14:46 	amuzed 	mrkez 	charhar910 	amyflorida 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
102 	2020-09-09 14:48 	smakkebo 	theben 	mozer 	berke97 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
103 	2020-09-09 14:46 	mbilzin 	nora124 	jludwig 	jtorff 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
104 	2020-09-09 14:48 	nozar333 	jathomas3 	Galaxy37 	jill777 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
105 	2020-09-09 14:48 	kashbyaz45 	anitamac 	Bunkergirl 	PegKross 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
106 	2020-09-09 14:48 	carolrit 	idahomb 	karo1025 	susucamp 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
107 	2020-09-09 14:46 	mrobichek 	elogg 	janer22 	kenya16 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
108 	2020-09-09 14:46 	WillK 	toby99 	ilonashorb 	carencowie 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
109 	2020-09-09 14:49 	jsck 	reddy4fred 	lblady1 	tasiusd 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
110 	2020-09-09 14:45 	bobynot50 	garage16 	Eyjari 	gardargard 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
111 	2020-09-09 14:46 	June1915 	carolkes 	NellBB 	bdali3 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
112 	2020-09-09 14:47 	OYTB 	bowei 	janetf 	joan zavis 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
113 	2020-09-09 14:47 	vkmiller 	skolson 	Susan SG 	gallahtn 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
114 	2020-09-09 14:46 	brolin 	ceciliabid 	Fairway22 	alexpapa 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
115 	2020-09-09 14:46 	CarolR117 	Inanwag 	miss plays 	miss bids 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
116 	2020-09-09 14:46 	resbayes 	kb2553 	FancyAunt 	Luckyluce4 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
117 	2020-09-09 14:46 	daver6322 	barbr6322 	Noangel255 	henryk5 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
118 	2020-09-09 14:47 	flockam 	rgbodis 	Wild__West 	pink frog 	4♠S-1 	-100 	18.18% 	Movie or Lin 	 
119 	2020-09-09 14:46 	billchar 	sunstro35 	ruthann 	kyradog 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
120 	2020-09-09 14:46 	RSSTAR 	love trips 	onthegeaux 	colt22 	4♠S-1 	-100 	18.18% 	Movie or Lin 	 
121 	2020-09-09 14:47 	nivri 	yancy1 	cattolli 	yolandac 	4♠S-1 	-100 	18.18% 	Movie or Lin 	 
122 	2020-09-09 14:47 	dobbinaz 	Ladygirl 	bridgeid99 	Fermat11 	4♠S-1 	-100 	18.18% 	Movie or Lin 	 
123 	2020-09-09 14:47 	NeoGold 	duhawk1 	APO42 	jsh80 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
124 	2020-09-09 14:47 	bds02 	ghb1049 	Nederhorst 	dotted3 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
125 	2020-09-09 14:46 	margisell 	bertsure4 	bpkpa 	Joel49 	3♠S-1 	-100 	18.18% 	Movie or Lin 	 
126 	2020-09-09 14:46 	grannysm1 	rickypwc 	Landasc 	mckennat10 	4♠S-2 	-200 	3.03% 	Movie or Lin 	 
127 	2020-09-09 14:46 	lujack 	Mikeyb 	glasair2 	funfrolic 	2NS-2 	-200 	3.03% 	Movie or Lin 	 
128 	2020-09-09 14:46 	lolido02 	nffellman 	KarenA 	glen 	2NS-2 	-200 	3.03% 	Movie or Lin 	 
129 	2020-09-09 14:50 	Martha68 	Tayalaw1 	janettorno 	DedeHuff 	4♠S-2 	-200 	3.03% 	Movie or Lin 	 
130 	2020-09-09 14:47 	trumpface 	Mistee 	Jack blues 	Zodiac59 	4♠S-2 	-200 	3.03% 	Movie or Lin 	 
131 	2020-09-09 14:47 	carlisa 	griffe12 	Portugal42 	jancharles 	4♠S-2 	-200 	3.03% 	Movie or Lin 	 
132 	2020-09-09 14:46 	cdhs123 	bliden 	ddlion 	nabuk 	2♠S-2 	-200 	3.03% 	Movie or Lin 	 
133 	2020-09-09 14:47 	frusco 	skiborder 	MHG1 	minkyg1 	3NN-3 	-300 	0.00% 	Movie or Lin 	 
Click here to return to the previous page
© 2018-2020 Bridge Base On Line LLC • About • Privacy • Rules • Terms and Conditions • Advertise • Support • Robot Convention Card
