

    Vugraph Schedule
    Hand Records
    BBO Points
    BB$

Logged in as elogg LogoutClick here to return to the previous page
Traveller 25033-1600376400-88933599 played by elogg 	 
Nº 	Time 	North 	South 	East 	West 	Result 	NS Points 	Score 	Movie 	 
63 	2020-09-17 14:40 	sinica23 	allisonfr 	moisheh 	marvana2 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
64 	2020-09-17 14:40 	Karenann 	JulyDiana 	Macsky1 	richa 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
65 	2020-09-17 14:42 	parsley196 	lynn381 	charness 	steveb3 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
66 	2020-09-17 14:40 	gbgreyfox 	drreb 	dickweth2 	vance272 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
67 	2020-09-17 14:42 	rakkss 	bottodue 	honeypes 	maui me 	2♠N-2 	-100 	53.88% 	Movie or Lin 	 
68 	2020-09-17 14:40 	SarahCTP 	JoyBak 	aarons 	mcn 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
69 	2020-09-17 14:42 	Dq7431 	Bjthom931 	Clark5 	NolanMom 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
70 	2020-09-17 14:42 	eileneg 	biddingeln 	headlv 	kwbridge 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
71 	2020-09-17 14:42 	Georgy Bro 	PatsySS 	janeccrn 	paulkh 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
72 	2020-09-17 14:40 	Mistee 	trumpface 	bree leant 	teddymaid 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
73 	2020-09-17 14:41 	Sallyflan 	AdrianFig 	lovu62 	Gracecha 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
74 	2020-09-17 14:41 	luckysue 	jlwins 	BFG 	realhome 	4♠N-2 	-100 	53.88% 	Movie or Lin 	 
75 	2020-09-17 14:41 	bridget111 	spanisheye 	jillian 	handydell 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
76 	2020-09-17 14:41 	jillie730 	jack2211 	zmanmom 	p450guy 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
77 	2020-09-17 14:42 	jbhunter54 	ajkajk 	Muan03UCSD 	Sun Rex 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
78 	2020-09-17 14:38 	camura 	jan0107 	Ellensblum 	LPHOlli 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
79 	2020-09-17 14:38 	trumpmaven 	wubbe2 	frankf1 	Ashokw 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
80 	2020-09-17 14:41 	CSMCNOR 	jmunz 	knovicoff 	bbuch41 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
81 	2020-09-17 14:38 	Quietmike 	Poaannua 	kctory 	LusbyBob 	3♠N-2 	-100 	53.88% 	Movie or Lin 	 
82 	2020-09-17 14:37 	maggiva1 	hazzi1 	bunnu440 	lynal 	4♠N-2 	-100 	53.88% 	Movie or Lin 	 
83 	2020-09-17 14:41 	spot card 	dckelley 	yayaby 	iredouble 	4♦W= 	-130 	36.43% 	Movie or Lin 	 
84 	2020-09-17 14:39 	Tipu 	anis1971 	oktaygecit 	ojkusc 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
85 	2020-09-17 14:41 	ringroad_ 	Landasc 	Judy6 	schmoo 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
86 	2020-09-17 14:41 	Kac1 	pninah 	mandril 	kosticevaa 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
87 	2020-09-17 14:39 	tikkun 	Littlecm34 	Evabarry 	bevlitsky1 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
88 	2020-09-17 14:41 	ganga 	skipinlake 	padamle 	hobpro 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
89 	2020-09-17 14:41 	katewoot 	K1w1 	cuddleyjd 	lvand14 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
90 	2020-09-17 14:39 	bobade 	tadelman 	APO42 	jsh80 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
91 	2020-09-17 14:42 	kdavis541 	juulsj10 	teslalover 	Rawfood 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
92 	2020-09-17 14:40 	gsada 	tvdinner 	HeleneG11 	n74tg 	3♠N-3 	-150 	31.40% 	Movie or Lin 	 
93 	2020-09-17 14:42 	KarenA 	glen 	lvgopher 	lvrandy 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
94 	2020-09-17 14:40 	giulia03 	1feeling 	elli30 	indarjit 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
95 	2020-09-17 14:42 	emilyseide 	Sheleb 	Hidden32 	Garrison L 	4♠N-3 	-150 	31.40% 	Movie or Lin 	 
96 	2020-09-17 14:41 	hile 	normw 	gkstengel 	niksu 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
97 	2020-09-17 14:41 	Joephill 	ELIZKROS 	miskellj 	jgovreau 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
98 	2020-09-17 14:39 	ceeski3 	jujuf1 	b-stick 	expo4 	3♠xN-2 	-300 	22.87% 	Movie or Lin 	 
99 	2020-09-17 14:39 	phil 	karenemcd 	giulib 	jarsstep 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
100 	2020-09-17 14:40 	faykarl 	sabz 	bong123 	wmer30 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
101 	2020-09-17 14:40 	NellBB 	thankup123 	Mlemmond12 	gailseale 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
102 	2020-09-17 14:42 	Mary-Lou 	pranlet 	bruss2 	loritap 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
103 	2020-09-17 14:41 	ksturnip 	mlbarton 	brisi153 	ddyan 	3♠xN-2 	-300 	22.87% 	Movie or Lin 	 
104 	2020-09-17 14:42 	fernie47 	susehrl 	chy5200 	seadogfla 	4♠xN-2 	-300 	22.87% 	Movie or Lin 	 
105 	2020-09-17 14:38 	vmandell 	k1u2ssin 	golden one 	ddpetunia 	3♠xN-2 	-300 	22.87% 	Movie or Lin 	 
106 	2020-09-17 14:41 	purnimasha 	vkshah1941 	Fairway22 	alexpapa 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
107 	2020-09-17 14:39 	lenbev 	joaniejfk 	tasha5 	irishg 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
108 	2020-09-17 14:38 	loy3 	Marsaka 	myrmil 	ZnHWu 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
109 	2020-09-17 14:41 	loveable 	swak70 	ButtonsMom 	KLPbridge 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
110 	2020-09-17 14:42 	arnedanske 	harmann8 	corkkitty 	cesmith 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
111 	2020-09-17 14:42 	RMF1939 	champ10 	Daisy155 	Trisport 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
112 	2020-09-17 14:40 	labayou 	metrygirl 	41115 	tnfarmer4 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
113 	2020-09-17 14:42 	enzobindo 	Brbeg123 	diana lynn 	jondrobuli 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
114 	2020-09-17 14:41 	love trips 	ricker 	sha1 	eliran_a 	4♠xN-3 	-500 	15.50% 	Movie or Lin 	 
115 	2020-09-17 14:38 	121442 	Adele46 	gudenuf 	erzsi99 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
116 	2020-09-17 14:41 	yolandac 	shotzy7 	alex2511 	Parish8836 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
117 	2020-09-17 14:39 	azlinda 	jg48 	hagster64 	rovill 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
118 	2020-09-17 14:40 	smm20 	grandall 	marcia24 	atarte 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
119 	2020-09-17 14:42 	megmarsh 	dem1219 	jellyjam1 	Ellenlberk 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
120 	2020-09-17 14:42 	flockam 	rgbodis 	delsouljc 	drewme 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
121 	2020-09-17 14:40 	amber_rain 	us555 	bibilaura 	MAGU 2 	4♥W= 	-620 	8.91% 	Movie or Lin 	 
122 	2020-09-17 14:41 	Mikia 	ssyc1938 	sheilakrip 	mafat5 	4♥E= 	-620 	8.91% 	Movie or Lin 	 
123 	2020-09-17 14:39 	concierges 	keystoner2 	challer 	lba1116 	4♥E+1 	-650 	3.49% 	Movie or Lin 	 
124 	2020-09-17 14:42 	any blue 	TonyTV1 	nazirk 	zinki 	4♥E+1 	-650 	3.49% 	Movie or Lin 	 
125 	2020-09-17 14:42 	h kopan 	pinebluff 	tennhill 	vivskm 	5♥E= 	-650 	3.49% 	Movie or Lin 	 
126 	2020-09-17 14:42 	Johnrmelis 	kenya16 	Mrslaps 	esgkc 	4♥W+1 	-650 	3.49% 	Movie or Lin 	 
127 	2020-09-17 14:40 	susan0 	gordogreen 	jpsdo 	Kangahiker 	4♥E+1 	-650 	3.49% 	Movie or Lin 	 
128 	2020-09-17 14:41 	sv21 	pierchat31 	martylrob 	DMR1 	4♥E+1 	-650 	3.49% 	Movie or Lin 	 
129 	2020-09-17 14:42 	maryb4921 	elaine1624 	robbieshan 	texasjudy1 	3NE+2 	-660 	0.78% 	Movie or Lin 	 
130 	2020-09-17 14:38 	ladydi1127 	LordMayo 	acsbb 	JJ7789 	5♠xN-4 	-800 	0.00% 	Movie or Lin 	 
131 	2020-09-17 14:41 	csgreen1 	lgreenhous 	eagles123 	dellabuckl 	A== 	N/A 	50.00% 	Movie or Lin 	 
132 	2020-09-17 14:40 	mpeach4 	auntalicef 	par90 	airani1 	A== 	N/A 	50.00% 	Movie or Lin 	 
133 	2020-09-17 14:42 	Ladygirl 	FRG1950 	rudiemac 	pagetcourt 	A== 	N/A 	50.00% 	Movie or Lin 	 
Click here to return to the previous page
© 2018-2020 Bridge Base On Line LLC • About • Privacy • Rules • Terms and Conditions • Advertise • Support • Robot Convention Card
